country,year,average_magnitude,eneg,enep,upper_tier,en_pres,proximity,social_heterogeneity,electoral_system
Albania,1992,1,1.10692894458771,2.19000005722046,28.5699996948242,0,0,Bottom 3rd of ENEG,Single-Member District
Albania,1996,1,1.10692894458771,2.78500008583069,17.8600006103516,0,0,Bottom 3rd of ENEG,Single-Member District
Albania,1997,1,1.10692894458771,2.86999988555908,25.7999992370605,0,0,Bottom 3rd of ENEG,Single-Member District
Argentina,1946,10.5299997329712,1.34210205078125,5.75,0,2.08999991416931,1,Middle 3rd of ENEG,Large-Magnitude PR
Argentina,1951,10.5299997329712,1.34210205078125,1.97000002861023,0,1.96000003814697,1,Middle 3rd of ENEG,Large-Magnitude PR
Argentina,1954,4.55999994277954,1.34210205078125,1.92999994754791,0,1.96000003814697,0.200000002980232,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1958,8.13000011444092,1.34210205078125,2.88499999046326,0,2.65000009536743,1,Middle 3rd of ENEG,Large-Magnitude PR
Argentina,1960,4.17000007629395,1.34210205078125,5.4850001335144,0,2.65000009536743,0.200000002980232,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1963,8.35000038146973,1.34210205078125,5.98000001907349,0,3.90000009536743,1,Middle 3rd of ENEG,Large-Magnitude PR
Argentina,1965,4.17000007629395,1.34210205078125,5.15500020980835,0,3.90000009536743,0.330000013113022,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1973,10.1300001144409,1.34210205078125,3.19000005722046,0,2.66000008583069,1,Middle 3rd of ENEG,Large-Magnitude PR
Argentina,1983,10.5799999237061,1.34210205078125,2.63000011444092,0,2.29999995231628,1,Middle 3rd of ENEG,Large-Magnitude PR
Argentina,1985,5.28999996185303,1.34210205078125,4.23999977111816,0,2.29999995231628,0.330000013113022,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1987,5.51999998092651,1.34210205078125,3.14000010490418,0,2.29999995231628,0.330000013113022,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1989,5.28999996185303,1.34210205078125,3.34999990463257,0,2.91000008583069,1,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1991,5.28999996185303,1.34210205078125,3.5699999332428,0,2.91000008583069,0.330000013113022,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1993,5.28999996185303,1.34210205078125,3.36999988555908,0,2.91000008583069,0.330000013113022,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1995,5.42000007629395,1.34210205078125,3.57999992370605,0,2.75,1,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1997,5.28999996185303,1.34210205078125,3.65000009536743,0,2.75,0,Middle 3rd of ENEG,Small-Magnitude PR
Argentina,1999,5.42000007629395,1.34210205078125,3.22499990463257,0,2.55999994277954,1,Middle 3rd of ENEG,Small-Magnitude PR
Armenia,1995,1,1.1544680595398,4.2350001335144,21.0499992370605,1.38999998569489,0.600000023841858,Bottom 3rd of ENEG,Single-Member District
Armenia,1999,1,1.1544680595398,4.76999998092651,42.7400016784668,3.64000010490418,0.600000023841858,Bottom 3rd of ENEG,Single-Member District
Australia,1946,1,1.17440402507782,2.74000000953674,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1949,1,1.17440402507782,2.64000010490418,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1951,1,1.17440402507782,2.49000000953674,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1954,1,1.17440402507782,2.46000003814697,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1955,1,1.17440402507782,2.73499989509583,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1958,1,1.17440402507782,2.97000002861023,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1961,1,1.17440402507782,2.80999994277954,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1963,1,1.17440402507782,2.78999996185303,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1966,1,1.17440402507782,2.98000001907349,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1969,1,1.17440402507782,2.82999992370605,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1972,1,1.17440402507782,2.76999998092651,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1974,1,1.17440402507782,2.66000008583069,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1975,1,1.17440402507782,2.70000004768372,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1977,1,1.17440402507782,3.11500000953674,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1980,1,1.17440402507782,2.80999994277954,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1983,1,1.17440402507782,2.67000007629395,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1984,1,1.17440402507782,2.78999996185303,0,0,0,Bottom 3rd of ENEG,Single-Member District
Australia,1987,1,1.17440402507782,3.01999998092651,0,0,0,Bottom 3rd of ENEG,Single-Member District
