year,ft_democratic_party,ft_republican_party,education
1978,80,50,High School
1978,50,50,8th Grade or Less
1978,40,60,High School
1978,60,60,High School
1978,85,60,8th Grade or Less
1978,50,50,High School and Non-Academic Training
1978,70,40,College Degree
1978,,,Some High School
1978,60,60,Some College
1978,,,Some High School
1978,,,Some High School
1978,70,40,High School
1978,85,85,8th Grade or Less
1978,75,65,College Degree
1978,50,50,Some High School
1978,97,0,Some High School
1978,60,0,Some College
1978,30,70,Some College
1978,80,15,Some High School
1978,,,8th Grade or Less
1978,85,85,High School and Non-Academic Training
1978,70,85,High School
1978,70,70,Some College
1978,50,50,Some High School
1978,97,50,Some High School
1978,85,50,8th Grade or Less
1978,85,70,High School
1978,70,70,8th Grade or Less
1978,,,College Degree
1978,50,90,High School and Non-Academic Training
1978,50,60,High School and Non-Academic Training
1978,85,70,High School and Non-Academic Training
1978,,,8th Grade or Less
1978,70,60,High School and Non-Academic Training
1978,50,50,High School
1978,60,70,8th Grade or Less
1978,50,80,High School
1978,70,70,Some College
1978,70,40,College Degree
1978,50,50,Some College
1978,,,8th Grade or Less
1978,85,40,High School and Non-Academic Training
1978,50,50,Some High School
1978,,,High School
1978,50,50,High School and Non-Academic Training
1978,70,85,High School
1978,,70,Some High School
1978,70,30,High School
1978,50,97,8th Grade or Less
1978,,,Some High School
1978,30,85,Some College
1978,85,85,College Degree
1978,,,High School and Non-Academic Training
1978,75,50,College Degree
1978,50,50,Some College
1978,50,75,Some High School
1978,40,60,Some High School
1978,70,50,High School
1978,70,70,Some High School
1978,97,65,Some High School
1978,,,High School
1978,50,50,High School and Non-Academic Training
1978,80,50,High School and Non-Academic Training
1978,60,60,High School
1978,70,60,High School
1978,97,50,High School
1978,70,45,8th Grade or Less
1978,97,50,8th Grade or Less
1978,85,30,8th Grade or Less
1978,,,8th Grade or Less
1978,,,Some High School
1978,,,High School
1978,85,70,Some College
1978,50,50,Some High School
1978,50,70,Some College
1978,70,70,High School
1978,40,75,Some College
1978,50,70,Some College
1978,50,70,College Degree
1978,50,70,High School and Non-Academic Training
1978,85,40,High School and Non-Academic Training
1978,85,50,Some College
1978,0,97,College Degree
1978,70,50,8th Grade or Less
1978,50,50,High School
1978,0,70,College Degree
1978,85,40,High School and Non-Academic Training
1978,30,70,Some College
1978,50,50,College Degree
1978,60,40,College Degree
1978,50,50,8th Grade or Less
1978,30,60,College Degree
1978,70,50,High School and Non-Academic Training
1978,90,80,High School
1978,70,30,8th Grade or Less
1978,,,High School
1978,60,40,Some College
1978,50,0,High School
1978,60,50,High School
1978,60,60,Some High School
1978,97,60,College Degree
1978,30,85,8th Grade or Less
1978,70,85,Some High School
1978,50,50,High School and Non-Academic Training
1978,30,85,High School
1978,50,50,Some College
1978,50,75,Some College
1978,70,60,College Degree
1978,70,40,College Degree
1978,70,50,High School
1978,50,50,High School
1978,,,8th Grade or Less
1978,97,,High School and Non-Academic Training
1978,97,85,College Degree
1978,50,97,Some College
1978,40,60,College Degree
1978,85,70,Some High School
1978,60,0,High School and Non-Academic Training
1978,60,60,Some College
1978,50,50,High School and Non-Academic Training
1978,97,70,Some High School
1978,,,High School and Non-Academic Training
1978,70,50,High School and Non-Academic Training
1978,40,70,High School and Non-Academic Training
1978,,,College Degree
1978,97,85,Some College
1978,70,40,Some College
1978,50,50,High School and Non-Academic Training
1978,90,,8th Grade or Less
1978,50,97,High School and Non-Academic Training
1978,70,40,High School and Non-Academic Training
1978,85,85,High School
1978,75,8,Some College
1978,,70,Some High School
1978,,,High School
1978,65,25,Some High School
1978,50,,High School
1978,70,60,Some College
1978,,,High School and Non-Academic Training
1978,,,8th Grade or Less
1978,50,50,High School
1978,75,75,Some High School
1978,50,50,Some College
1978,50,50,Some College
1978,50,50,High School
1978,97,0,8th Grade or Less
1978,70,60,Some College
1978,97,50,High School and Non-Academic Training
1978,50,50,Some High School
1978,,,8th Grade or Less
1978,50,50,High School
1978,60,60,High School
1978,70,50,8th Grade or Less
1978,,,8th Grade or Less
1978,60,60,High School
1978,,,Some High School
1978,97,70,Some High School
1978,70,70,Some High School
1978,85,70,High School
1978,85,50,8th Grade or Less
1978,50,70,High School
1978,50,70,8th Grade or Less
1978,40,50,Some High School
1978,,,Some High School
1978,90,50,College Degree
1978,60,40,College Degree
1978,20,40,Some College
1978,60,97,Some High School
1978,50,50,College Degree
1978,50,50,Some College
1978,10,90,High School and Non-Academic Training
1978,60,85,High School
1978,60,97,Some High School
1978,50,50,High School and Non-Academic Training
1978,50,60,Some College
1978,50,50,High School and Non-Academic Training
1978,,,High School and Non-Academic Training
1978,15,15,Some College
1978,70,85,High School and Non-Academic Training
1978,75,75,High School
1978,60,60,High School
1978,,,8th Grade or Less
1978,,,High School
1978,70,60,Some College
1978,,,High School
1978,40,60,College Degree
1978,85,40,College Degree
1978,85,85,8th Grade or Less
1978,80,30,8th Grade or Less
1978,85,45,High School
1978,60,50,High School and Non-Academic Training
1978,,,8th Grade or Less
1978,75,50,Some High School
1978,97,50,Some College
1978,50,50,Some College
1978,97,60,High School and Non-Academic Training
1978,60,40,Some High School
1978,,,High School
1978,25,75,Some High School
1978,,,High School
1978,,,Some High School
1978,50,50,Some College
1978,85,30,Some College
1978,50,50,Some High School
1978,50,50,Some College
1978,85,70,8th Grade or Less
1978,97,70,High School
1978,,70,8th Grade or Less
1978,50,90,High School
1978,80,80,High School and Non-Academic Training
1978,,,Some High School
1978,,,Some High School
1978,50,50,College Degree
1978,50,50,Some College
1978,75,60,Some High School
1978,60,70,High School
1978,,,8th Grade or Less
1978,70,85,Some College
1978,50,50,8th Grade or Less
1978,60,60,Some College
1978,85,60,High School and Non-Academic Training
1978,,,8th Grade or Less
1978,,,High School
1978,85,85,8th Grade or Less
1978,,,Some College
1978,60,50,
1978,40,60,Some College
1978,85,70,Some High School
1978,90,0,Some High School
1978,75,80,8th Grade or Less
1978,85,60,8th Grade or Less
1978,70,60,High School and Non-Academic Training
1978,97,85,8th Grade or Less
1978,40,50,College Degree
1978,70,50,High School
1978,40,50,Some College
1978,85,40,Some High School
1978,60,50,High School and Non-Academic Training
1978,60,40,8th Grade or Less
1978,97,0,8th Grade or Less
1978,,,College Degree
1978,80,60,
1978,70,60,High School and Non-Academic Training
1978,60,60,High School
1978,60,60,College Degree
1978,50,50,Some College
1978,50,50,Some College
1978,50,50,8th Grade or Less
1978,50,50,8th Grade or Less
1978,60,50,High School and Non-Academic Training
1978,40,60,College Degree
1978,30,70,College Degree
1978,25,50,8th Grade or Less
1978,97,97,Some High School
1978,50,50,High School
1978,50,70,8th Grade or Less
1978,50,50,Some College
1978,70,30,Some College
1978,50,50,High School and Non-Academic Training
1978,70,70,Some High School
1978,70,85,High School
1978,70,50,High School and Non-Academic Training
1978,,,8th Grade or Less
1978,75,50,Some College
1978,55,55,College Degree
1978,50,80,College Degree
1978,70,40,High School
1978,60,60,College Degree
1978,70,60,College Degree
1978,60,40,Some High School
1978,50,60,High School
1978,70,60,High School and Non-Academic Training
1978,,,8th Grade or Less
1978,70,50,Some High School
1978,75,60,College Degree
1978,,,High School
1978,70,97,8th Grade or Less
1978,60,97,8th Grade or Less
1978,0,70,High School
1978,70,40,Some College
1978,60,70,High School and Non-Academic Training
1978,50,70,High School and Non-Academic Training
1978,70,70,Some High School
1978,60,60,Some College
1978,97,70,High School and Non-Academic Training
1978,,,Some High School
1978,60,50,High School and Non-Academic Training
1978,0,70,Some College
1978,60,0,Some College
1978,50,60,High School and Non-Academic Training
1978,50,85,College Degree
1978,40,50,High School
1978,50,50,8th Grade or Less
1978,60,40,High School and Non-Academic Training
1978,45,90,Some College
1978,97,70,8th Grade or Less
1978,90,60,Some College
1978,70,50,Some High School
1978,80,60,Some High School
1978,80,40,Some College
1978,70,55,High School and Non-Academic Training
1978,70,70,Some High School
1978,50,50,Some College
1978,85,40,High School and Non-Academic Training
1978,50,50,High School
